field	status	evidence
static_contract	PASS	kind-config.yaml+kubernetes-smoke.yaml
kubernetes_version	PASS	1.35.0
kind_node_digest	PASS	sha256:4613778f3cfcd10e615029370f5786704559103cf27bef934597ba562b269661
csi	PASS	hostpath-csi-1.17.0@sha256:e20e2681349cb892bc88d8ab23c6785949bdb7e9b518bf3a261b5f13034f8b3b
cni_network	PASS	cni-plugins-1.9.1+kubernetes-network-routing.txt
ingress_routing	PASS	ingress-nginx-1.15.1+kubernetes-network-routing.txt
cluster_execution	PASS	kind-create.log
csi_pvc	PASS	kubernetes-storage.txt
pod_recovery	PASS	kubernetes-storage.log
csi_pod_restart	PASS	kubernetes-csi-plugin.log
node_failure_recovery	PASS	kubernetes-nodes-during-failure.txt
